User_ID,Age,Review Text,Recommended IND,Positive Feedback Count
57,31,This tank fit well and i loved the ruffle in the back and how it layed. but the front was not a good look and i will be retuning it.,0,0
58,36,"I got this in the petite length, size o, and it fit just right. i like that i didn't have to have it altered in the length; can wear with flats with plenty of clearance to the floor from the bottom hem. my only beef with the design is the height of the waist. i personally think that the elastic waistband looks cheap, and really needs to be concealed with a belt, yet because it sits so high, literally right under the bustline, it's a tricky one to pull off. i have a wide belt that sort of does th",1,0
59,52,"I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear. this is a light weight bra, could be a little more supportive. pretty color, with nice lines. only downside is the retailer tag on the back - itchy (i need to remove it.)",1,1
60,41,"This dress is simply beautiful and stunning. it is so figure flattering and i can't wait to wear it. size small worked for me, and since i'm tall it fell right to my ankle which is perfect for me. i could not be happier with the purchase and the keyhole in the back is a beautiful detail.",1,0
61,36,"3 tags sewn in, 2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however, this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!",0,0
62,28,I recently got this on sale after looking at it forever on my wish list. i'm so happy with it. its very comfortable and just long enough for my torso (5'3). the pattern on the front is very flattering.,1,0
63,57,"Very comfortable shirt, light weight top with lovely floral colors. great for spring/summer with white jeans. love everything one september makes!",1,1
64,43,Loved this top and was really happy to find it on sale!,1,0
65,58,"Beautiful top, but delicate! i wore it to school and the straps on my backpack caused some pilling. other than that it is beautiful and vibrant! just make sure you aren't doing/wearing anything that will rub it continuously since the fabric is delicate",1,2
66,60,"Just received this in the mail, tried it on and am smitten. i'm usually a l, but sometimes i'm a xl (if no stretch), in retailer tops. i bought this one in l and i'm sure glad i did. very flowy, stretchy and comfortable. i also bought the meda lace top from one september and they are very similar expect this is more of a t-shirt and the other is more of a blouse. i almost think i could've gotten a m in this because there is a lot of extra fabric at the chest which is usually never the issue for me",1,9
67,40,"Love this top! i kept eyeing it online and wavering on size, since my post-baby body is a little wonky. i went with the xsp, and miraculously, it works perfectly! so, i would say it does run just a little large..... i love the length, and usually do not go with petite sizes at retailer because i like the longer lengths of the regular. but this is perfect on me, and there is give up top, so it looks lovely. and it is very soft and comfortable. this will be a go-to top this season!",1,1
68,37,"I really loved this top online and wanted to love it in person. it is soft and the patter is okay in person. the neckline is higher than i am used to. also, there are two buttons in the back that must be unbuttoned in order to wear the top. it is difficult to button them behind your neck with the top on. unfortunately i had to return this item...",0,0
69,56,"I really wanted this to work. alas, it had a strange fit for me. the straps would not stay up, and it had a weird fit under the breast. it worked standing up, but the minute i sat down it fell off my shoulders. the fabric was beautiful! and i loved that it had pockets.",0,1
70,38,"This top is so cute, but it is massively babydoll shaped (a- line) which is not apparent from the pictures. i measured the xs i have and the chest is about 42"" and sweep is over 70"". i would definitely keep this top if it hung straighter. the craftsmanship is lovely and fabric is so natural and handwoven looking. i'm thinking about asking my tailor if she can take the sides in, but that might ruin it as the fabric layout is cut and proportioned to this swing style.",1,10
71,36,"Why do designers keep making crop tops??!! i can't imagine this would be flattering on anyone, especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous, so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s",0,0
72,27,"I have a short torso and this works well for me. 34c, bought the 0. there's not much stretch to the fabric so it is fitted to my chest, but not in an uncomfortable way. definitely doesn't hang and have extra fabric like on the model. 

zipper goes almost all the way down to the bottom so it's easier to get on and off which makes up for the lack of stretch n the fabric.

unlike another reviewer, i found it went really well with navy pants and i wore it to a business meeting under a blazer. wi",1,4
73,47,"I love this top. it is loose and comfortable. it is not sheer so you don't need a cami. it runs a little large so size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful.",1,0
74,59,I passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape. i was surprised how much cuter it is on than on hanger. i sized down to get a more fitting look and really made a difference for me in style. i was not a fan of the way it looked so loose on model. it looks really cute fitted and a bit sexy even. it is lined and very comfy and can be dressed up a but for work with a cardi. i believe i will get a lot of wear,1,1
75,48,"I am so drawn to baby doll and boxy shirts so i immediately tried this on in the store. i am petite and only 5'2"", so usually shirts with a lot of fabric swallow me whole but this one was still cute. there is a lot more fabric than the picture lets on, but i think it is still super cute and flattering. i would definitely check the size chart and read comments to see if someone with your same size description has recommended a specific size for your body type. i am petite and weigh about 110 lbs",1,5
76,31,"I would have loved this dress if the bust and waist were just a little more fitted. i am 32c and the top was too big. fit perfectly on hips. the lace material means it cannot be easily altered, so i chose to return the dress. i would have definitely kept it if it were a better fit.",1,0
77,28,"The zipper broke on this piece the first time i wore it. very disappointing since i love the design. i'm actually going to try to replace the zipper myself with something stronger, but annoying that it's come to that.",0,0
78,47,I usually size up with this brand. small was perfect for me at 135lbs. this top has a luxurious but casual feel and beautiful. i am obsessed and want to wear it everyday. it wears a little long and drapey but a little tight where it rolls up in the arms.,1,1
79,62,"This dress is adorable - it's a perfect casual look for summer and the quality is nice with the lining (though still overpriced, in my opinion). the tie detail is somewhat adjustable, and i found my normal size s to fit fine (5'7, 128#). where this gets me is the fact that it's dry clean...totally doesn't make sense for a dress that is essentially a fancy tshirt for summer. i might bring it back for that alone, since i originally planned to wear it a lot. :(",1,2
80,68,"I am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit. i'm 5'1"" -112lbs so dress hit rt below knee -will have it hemmed up a bit do not so overwhelming.

this dress looks stunning on! great vibrant color ( i have dark hair) makes this classic elegant dress look contemporary and stylish. when i tried it on in store, salesperson and others who happen to see it on me raved and told me to grab it! i did and am glad.

i plan to wear it this spring for my daughte",1,1
81,61,Loved this top. great design. comfortable and unique. soft material,1,4
82,33,"The rest of the reviewers are right about the color being in accurately pictured. i ordered the dark orange color and i recieved more of a dark cedar brown colored jacket. the print is great, i love it! it's so different than any other jackets ive seen. while the jacket is ã¼ber cute, it is a bit bulky (though the waist tie helps with that) and its not heavy winter appropriate ( it's not waterproof or heavily insulated). for your average winter day though, it will be a fun option! the removable v",1,0
83,68,"I purchased this top in an antro store last week. the quality is wonderful and the greenish blue color is very unique. the blouse has a beautiful stretchy camsiole that is attached at the shoulders, but can be removed by snaps. i tooks great when worn two different ways. i wore it with the campole out, and it peeks through the blouse at the bottom. it also looks great when the camisole is worn in. my only wish is that it would come in a petite size as it's a touch big at the shoulders and neckli",1,3
84,37,"I received this shirt in my typical xs and it fits perfectly. i?m not crazy in love with it but i also don?t dislike. the shirt is on the thin side. do i need to wear a cami underneath it, no. my concern is holes. it does remind me of a material that could develop some holes after some wear and washes. with that being said i?ll wash this shirt in cold water and hang dry and hopefully that will prevent holes from developing. the length is fine and i do like the slits in front?it adds a little dim",1,0
85,58,"I was really hoping to like this, but it did not look the way it does on the model, at least not on me. the sharkbite hem is much more pronounced and looser. the one in the photo looks like it was pinned back. i am 5'8"" and usually wear a medium or large. i got a medium and there was a lot more material on the bottom half than the photo shows. it made me look bigger and was not flattering. material has a nice weave but it's thin and delicate. i bought the (holly) deep olive and the blue. colors",0,2
86,39,"I tried this on from the sale section, and they only had a 2 (i usually do 0), and surprisingly, that size was the right fit. it is fitted, with just enough room to eat :-) 
te blue is a light blue, almost neutral, with the white embroidery, i think it looked stylish, and decided to keep it. the peplum part hit just in the right spot, i am short (petite) but my torso is normal size...",1,0
87,39,"I debated n that as i think it looks loose on the model, but if i was to tighten it, it looks a lot more flattering... i tried on the xs in the store (i usually do that to decide if i need petite), and it looked huge, when we pinched the back to see if xxs would work, it was a lot of fabric, and looser didn't look as good on me... but i like the dress overall, so still recommend. and for those who like the looser look, this is great. i would, however, order eptite for 5'1.5"". (115 lbs, 03 dd che",1,9
88,38,"Really cute piece, but it's huge. i ordered an xxs petite and it was unfortunately extremely wide and not flattering. returning.",0,4
89,24,"I bought this top online in the burnt orange color and was so excited to get it. when i tried it on, the fit was fine but it just lacked...something. the back was a little bit too long, the front was a little bit too short and it lacked the overall tailored look that i was after. gorgeous fabric and top, but not for me. i wanted something more for $150! bought the velvet tunic instead ;)",1,3
90,51,"I love cute summer dresses and this one, especially because it is made out of linen, is unique. it is very well-made with a design that is quite flattering. i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10. it fits well although it is difficult to zip up because the material has no give. the perfect dress to wear to italy or france! now i just have to book my tickets!",1,0
91,29,"This top is so much prettier in real life than it is on the model. the pattern and texture are both lovely, and the peplum is surprisingly flattering. it is definitely on the short side, but i think that gives it a modern look. the fabric does not stretch at all, but i still think it fits tts. if you have a very large chest you may want to go up a size, but otherwise i would order your normal size.",1,5
92,23,,1,0
93,31,,1,0
94,23,,1,3
95,83,,1,14
96,44,,0,0
97,44,,0,0
98,50,,1,0
99,33,,0,17
100,39,,1,0
101,40,,1,5
102,69,,1,2
103,23,,0,9
104,51,,0,0
105,66,,1,0
106,47,,1,11
107,66,,1,0
108,23,,1,3
109,47,,1,0
110,44,,0,11
111,44,,1,4
112,50,,1,24
113,61,,1,3
114,32,,0,0
115,52,,1,0
116,51,,1,1
117,32,,1,2
118,37,,0,0
119,54,,1,4
120,33,,1,0
121,63,,1,0
122,29,,1,0
123,24,,1,0
124,50,,0,2
125,34,,1,1
126,71,,1,0
127,30,,1,0
128,52,,1,0
129,28,,1,0
130,62,,1,3
131,39,,1,0
132,46,,1,1
133,36,,1,0
134,65,,1,12
135,35,,1,0
136,31,,1,0
137,52,,1,0
138,34,,1,1
139,31,,1,1
140,36,,1,0
141,39,,1,2
142,35,,1,0
143,51,,1,0
144,39,,0,9
145,39,,1,2
146,39,,1,0
147,47,,1,1
148,64,,1,0
149,38,,1,2
150,36,,1,1
151,39,,1,0
152,53,,0,0
153,36,,1,1
154,44,,1,0
155,48,,1,0
156,37,,1,1
157,43,,0,2
158,53,,1,7
159,33,,1,0
160,39,,1,0
161,52,,0,8
162,64,,1,2
163,52,,1,7
164,42,,1,0
165,35,,0,0
166,56,,1,6
167,55,,1,0
168,40,,1,0
169,47,,1,3
170,36,,1,0
171,46,,1,0
172,66,,1,0
173,51,,1,0
174,34,,1,5
175,30,,1,4
176,43,,1,9
177,52,,1,0
178,35,,0,0
179,41,,1,3
180,39,,1,1
181,39,,1,1
182,50,,1,5
183,27,,1,1
184,33,,0,8
185,35,,0,0
186,34,,1,0
187,41,,1,2
188,54,,1,0
189,41,,1,4
190,47,,1,0
191,52,,0,3
192,46,,1,0
193,22,,1,1
194,40,,1,0
195,62,,1,9
196,26,,1,2
197,38,,1,3
198,53,,1,0
199,49,,0,0
200,43,,0,0
201,36,,1,0
202,36,,0,0
203,63,,1,1
204,56,,0,4
205,48,,0,9
206,43,,1,1
207,44,,1,1
208,40,,1,0
209,44,,0,1
210,54,,1,0
211,72,,1,5
212,52,,1,3
213,47,,1,0
214,67,,0,17
215,39,,1,0
216,46,,0,0
217,64,,1,3
218,30,,1,0
219,38,,1,1
220,36,,1,5
221,52,,1,1
222,61,,1,0
223,29,,1,1
224,38,,1,10
225,35,,1,14
226,55,,1,1
227,57,,1,3
228,55,,1,5
229,39,,1,0
230,39,,1,13
231,46,,1,8
232,37,,0,1
233,29,,1,1
234,83,,1,0
235,29,,1,1
236,49,,1,0
237,42,,0,0
238,63,,1,0
239,56,,0,20
240,55,,1,0
241,32,,0,3
242,26,,1,0
243,60,,1,0
244,48,,1,0
245,38,,1,0
246,49,,1,1
247,41,,1,1
248,28,,1,0
249,28,,1,0
250,48,,1,1
251,32,,1,0
252,29,,1,1
253,32,,1,6
254,28,,1,0
255,51,,1,1
256,44,,1,1
257,43,,1,0
258,48,,0,1
259,37,,1,1
260,31,,1,2
261,50,,1,0
262,47,,0,1
263,56,,1,2
264,25,,1,6
265,63,,1,0
266,54,,1,0
267,28,,1,0
268,26,,1,0
269,29,,1,0
270,61,,1,0
271,45,,1,1
272,39,,1,7
273,36,,1,0
274,41,,1,11
275,37,,1,0
276,55,,1,0
277,83,,1,1
278,35,,1,2
279,38,,1,3
280,35,,1,0
281,45,,1,7
282,65,,1,4
283,41,,1,1
284,69,,1,0
285,36,,1,0
286,42,,0,1
287,69,,1,0
288,46,,0,0
289,55,,1,0
290,36,,1,2
291,71,,1,0
292,65,,1,0
293,68,,1,16
294,43,,1,3
295,30,,1,7
296,40,,1,0
297,47,,1,0
298,39,,1,0
299,34,,1,0
300,38,,1,1
301,38,,1,0
302,36,,1,0
303,41,,1,0
304,36,,1,2
305,47,,1,0
306,63,,1,0
307,35,,1,0
308,35,,1,2
309,56,,1,0
310,41,,1,0
311,37,,0,6
312,34,,0,0
313,32,,1,4
314,60,,0,3
315,21,,1,8
316,59,,1,0
317,53,,1,4
318,27,,1,2
319,62,,1,7
320,41,,1,23
321,50,,1,3
322,54,,1,13
323,47,,1,0
324,41,,1,0
325,43,,0,0
326,43,,1,1
327,23,,1,0
328,25,,1,0
329,51,,1,0
330,41,,0,0
331,49,,1,2
332,46,,1,5
333,29,,1,6
334,53,,0,17
335,66,,1,6
336,32,,1,2
337,74,,1,9
338,63,,1,0
339,41,,1,0
340,40,,1,0
341,40,,1,0
342,32,,1,0
343,49,,1,3
344,44,,0,2
345,24,,1,0
346,70,,1,1
347,30,,1,1
348,47,,1,0
349,27,,0,15
350,36,,0,0
351,69,,1,7
352,52,,1,1
353,32,,0,0
354,37,,1,4
355,32,,1,0
356,42,,0,6
357,51,,1,2
358,34,,0,0
359,37,,1,3
360,50,,1,17
361,36,,1,0
362,65,,0,0
363,60,,1,1
364,46,,1,0
365,38,,1,0
366,37,,1,1
367,46,,1,4
368,29,,0,0
369,39,,1,0
370,25,,1,0
371,64,,1,4
372,57,,1,1
373,44,,1,2
374,44,,1,6
375,26,,1,0
376,37,,0,0
377,48,,1,0
378,35,,1,10
379,67,,1,0
380,24,,1,1
381,59,,0,13
382,47,,1,0
383,42,,1,0
384,29,,1,0
385,54,,1,3
386,41,,0,11
387,62,,1,9
388,29,,1,0
389,38,,0,20
390,25,,1,9
391,33,,1,1
392,34,,1,0
393,53,,1,3
394,46,,1,0
395,33,,0,1
396,40,,0,2
397,32,,1,0
398,38,,1,6
399,62,,1,11
400,35,,1,0
401,34,,1,0
402,26,,0,9
403,31,,1,6
404,58,,1,3
405,40,,1,1
406,22,,0,3
407,55,,1,1
408,66,,1,0
409,39,,1,0
410,30,,1,1
411,53,,1,3
412,23,,1,6
413,37,,1,1
414,51,,1,0
415,37,,1,2
416,35,,1,14
417,35,,0,2
418,40,,1,0
419,32,,1,1
420,68,,1,2
421,65,,1,0
422,37,,1,2
423,39,,1,1
424,22,,1,1
425,50,,1,0
426,33,,1,0
427,33,,1,0
428,38,,1,0
429,32,,1,0
430,51,,1,0
431,56,,1,1
432,38,,1,2
433,35,,1,0
434,48,,1,19
435,31,,1,0
436,38,,1,1
437,58,,1,4
438,63,,1,1
439,40,,1,5
440,41,,0,0
441,60,,1,1
442,60,,1,1
443,48,,1,6
444,70,,1,0
445,27,,1,0
446,32,,1,0
447,26,,0,3
448,51,,1,1
449,48,,1,0
450,30,,0,0
451,56,,1,1
452,27,,1,2
453,44,,1,1
454,39,,1,2
455,33,,1,0
456,33,,1,0
457,60,,1,0
458,44,,1,0
459,71,,1,0
460,44,,1,6
461,52,,1,5
462,23,,0,1
463,69,,1,1
464,48,,1,0
465,35,,1,6
466,59,,1,4
467,61,,1,1
468,45,,1,0
469,25,,1,1
470,33,,0,0
471,40,,1,0
472,68,,1,3
473,30,,1,0
474,20,,1,1
475,42,,0,2
476,52,,1,1
477,42,,1,2
